twotheta,intensity
29.5227,1723
29.5431,1773
29.5636,1774
29.584,1716
29.6045,1730
29.625,1687
29.6454,1744
29.6659,1805
29.6864,1795
29.7068,1673
29.7273,1717
29.7478,1753
29.7682,1732
29.7887,1737
29.8091,1751
29.8296,1789
29.8501,1675
29.8705,1724
29.891,1714
29.9115,1716
29.9319,1686
29.9524,1756
29.9729,1767
29.9933,1697
30.0138,1703
30.0343,1743
30.0547,1737
30.0752,1746
30.0956,1691
30.1161,1716
30.1366,1656
30.157,1692
30.1775,1667
30.198,1654
30.2184,1648
30.2389,1720
30.2594,1696
30.2798,1596
30.3003,1620
30.3207,1653
30.3412,1635
30.3617,1657
30.3821,1740
30.4026,1701
30.4231,1669
30.4435,1648
30.464,1650
30.4845,1609
30.5049,1652
30.5254,1649
30.5458,1661
30.5663,1704
30.5868,1690
30.6072,1606
30.6277,1674
30.6482,1601
30.6686,1636
30.6891,1663
30.7096,1653
30.73,1644
30.7505,1592
30.771,1610
30.7914,1631
30.8119,1713
30.8323,1558
30.8528,1585
30.8733,1578
30.8937,1590
30.9142,1600
30.9347,1626
30.9551,1577
30.9756,1626
30.9961,1536
31.0165,1569
31.037,1651
31.0574,1570
31.0779,1587
31.0984,1571
31.1188,1645
31.1393,1607
31.1598,1540
31.1802,1545
31.2007,1524
31.2212,1546
31.2416,1574
31.2621,1583
31.2825,1584
31.303,1634
31.3235,1581
31.3439,1547
31.3644,1562
31.3849,1567
31.4053,1618
31.4258,1635
31.4463,1580
31.4667,1519
31.4872,1590
31.5077,1640
31.5281,1535
31.5486,1559
31.569,1596
31.5895,1538
31.61,1606
31.6304,1535
31.6509,1528
31.6714,1538
31.6918,1517
31.7123,1558
31.7328,1553
31.7532,1548
31.7737,1507
31.7941,1556
31.8146,1565
31.8351,1460
31.8555,1581
31.876,1528
31.8965,1551
31.9169,1558
31.9374,1543
31.9579,1512
31.9783,1470
31.9988,1476
32.0192,1508
32.0397,1493
32.0602,1528
32.0806,1482
32.1011,1550
32.1216,1487
32.142,1568
32.1625,1474
32.183,1499
32.2034,1428
32.2239,1430
32.2444,1544
32.2648,1478
32.2853,1378
32.3057,1429
32.3262,1500
32.3467,1512
32.3671,1543
32.3876,1516
32.4081,1420
32.4285,1580
32.449,1485
32.4695,1488
32.4899,1441
32.5104,1524
32.5308,1473
32.5513,1481
32.5718,1471
32.5922,1424
32.6127,1470
32.6332,1448
32.6536,1538
32.6741,1397
32.6946,1462
32.715,1460
32.7355,1436
32.7559,1388
32.7764,1490
32.7969,1450
32.8173,1430
32.8378,1455
32.8583,1436
32.8787,1381
32.8992,1381
32.9197,1488
32.9401,1447
32.9606,1402
32.9811,1374
33.0015,1421
33.022,1382
33.0424,1388
33.0629,1403
33.0834,1402
33.1038,1373
33.1243,1465
33.1448,1415
33.1652,1435
33.1857,1398
33.2062,1356
33.2266,1392
33.2471,1361
33.2675,1378
33.288,1428
33.3085,1394
33.3289,1372
33.3494,1383
33.3699,1459
33.3903,1435
