twotheta,intensity
27.3057,4249
27.3262,4308
27.3467,4224
27.3671,4339
27.3876,4247
27.4081,4249
27.4285,4181
27.449,4266
27.4695,4172
27.4899,4190
27.5104,4059
27.5308,4158
27.5513,4111
27.5718,4186
27.5922,4173
27.6127,4277
27.6332,4188
27.6536,4236
27.6741,4248
27.6946,4196
27.715,4202
27.7355,4232
27.7559,4187
27.7764,4217
27.7969,4181
27.8173,4238
27.8378,4211
27.8583,4278
27.8787,4201
27.8992,4148
27.9197,4082
27.9401,4314
27.9606,4181
27.9811,4248
28.0015,4200
28.022,4151
28.0424,4246
28.0629,4307
28.0834,4216
28.1038,4174
28.1243,4268
28.1448,4203
28.1652,4053
28.1857,4128
28.2062,4174
28.2266,4103
28.2471,4150
28.2675,4124
28.288,4277
28.3085,4050
28.3289,4219
28.3494,4124
28.3699,4134
28.3903,4393
28.4108,4325
28.4313,4209
28.4517,4174
28.4722,4234
28.4926,4206
28.5131,4230
28.5336,4241
28.554,4255
28.5745,4111
28.595,4386
28.6154,4139
28.6359,4058
28.6564,4266
28.6768,4224
28.6973,4294
28.7178,4234
28.7382,4204
28.7587,4250
28.7791,4228
28.7996,4133
28.8201,4159
28.8405,4233
28.861,4212
28.8815,4133
28.9019,4154
28.9224,4182
28.9429,4155
28.9633,4247
28.9838,4288
29.0042,4182
29.0247,4146
29.0452,4196
29.0656,4252
29.0861,4215
29.1066,4305
29.127,4109
29.1475,4253
29.168,4177
29.1884,4137
29.2089,4219
29.2293,4201
29.2498,4121
29.2703,4083
29.2907,4182
29.3112,4147
29.3317,4173
29.3521,4164
29.3726,4248
29.3931,4138
29.4135,4180
29.434,4104
29.4545,4181
29.4749,4184
29.4954,4224
29.5158,4194
29.5363,4180
29.5568,4237
29.5772,4247
29.5977,4101
29.6182,4201
29.6386,4067
29.6591,4280
29.6796,4141
29.7,4173
29.7205,4157
29.7409,4207
29.7614,4225
29.7819,4157
29.8023,4193
29.8228,4195
29.8433,4170
29.8637,4209
29.8842,4301
29.9047,4190
29.9251,4230
29.9456,4068
29.966,4220
29.9865,4077
30.007,4136
30.0274,4241
30.0479,4087
30.0684,4251
30.0888,4057
30.1093,4198
30.1298,4133
30.1502,4178
30.1707,4231
30.1912,4154
30.2116,4234
30.2321,4158
30.2525,4220
30.273,4224
30.2935,4164
30.3139,4125
30.3344,4141
30.3549,4287
30.3753,4154
30.3958,4220
30.4163,4217
30.4367,4202
30.4572,4251
30.4776,4288
30.4981,4246
30.5186,4223
30.539,4138
30.5595,4109
30.58,4274
30.6004,4233
30.6209,4133
30.6414,4204
30.6618,4276
30.6823,4124
30.7027,4232
30.7232,4211
30.7437,4264
30.7641,4061
30.7846,4185
30.8051,4212
30.8255,4182
30.846,4227
30.8665,4298
30.8869,4260
30.9074,4149
30.9279,4187
30.9483,4153
30.9688,4114
30.9892,4194
31.0097,4278
31.0302,4321
31.0506,4199
31.0711,4067
31.0916,4182
31.112,4167
31.1325,4201
31.153,4267
31.1734,4318
31.1939,4175
31.2143,4091
31.2348,4085
31.2553,4279
31.2757,4256
31.2962,4222
31.3167,4235
31.3371,4196
31.3576,4226
31.3781,4169
31.3985,4225
31.419,4249
31.4394,4091
31.4599,4161
31.4804,4198
31.5008,4216
31.5213,4200
31.5418,4268
31.5622,4140
31.5827,4272
31.6032,4236
31.6236,4234
31.6441,4161
31.6646,4078
31.685,4085
31.7055,4203
31.7259,4194
31.7464,4234
31.7669,4036
31.7873,4243
31.8078,4191
31.8283,4287
31.8487,4241
31.8692,4137
31.8897,4190
31.9101,4183
31.9306,4166
31.951,4053
31.9715,4244
31.992,4079
32.0124,4252
32.0329,4178
32.0534,4222
32.0738,4123
32.0943,4227
32.1148,4063
32.1352,4155
32.1557,4172
32.1761,4229
32.1966,4234
32.2171,4062
32.2375,4200
32.258,4175
32.2785,4230
32.2989,4250
32.3194,4286
32.3399,4339
32.3603,4208
32.3808,4222
32.4013,4237
32.4217,4246
32.4422,4117
32.4626,4324
32.4831,4197
32.5036,4250
32.524,4217
32.5445,4166
32.565,4161
32.5854,4206
32.6059,4224
32.6264,4213
32.6468,4209
32.6673,4087
32.6877,4308
32.7082,4109
32.7287,4159
32.7491,4238
32.7696,4177
32.7901,4257
32.8105,4297
32.831,4231
32.8515,4061
32.8719,4265
32.8924,4193
32.9129,4159
32.9333,4100
32.9538,4197
32.9742,4154
32.9947,4255
33.0152,4137
33.0356,4184
33.0561,4172
33.0766,4142
33.097,4279
33.1175,4167
33.138,4216
33.1584,4216
33.1789,4147
33.1993,4238
33.2198,4251
33.2403,4134
33.2607,4209
33.2812,4322
33.3017,4171
33.3221,4236
33.3426,4225
33.3631,4224
33.3835,4233
33.404,4185
33.4244,4221
33.4449,4242
33.4654,4199
33.4858,4247
33.5063,4364
33.5268,4247
33.5472,4245
33.5677,4242
33.5882,4107
33.6086,4220
33.6291,4296
33.6496,4248
33.67,4196
33.6905,4170
33.7109,4287
33.7314,4244
33.7519,4206
33.7723,4297
33.7928,4164
33.8133,4239
33.8337,4283
33.8542,4162
33.8747,4304
33.8951,4240
33.9156,4309
33.936,4195
33.9565,4132
33.977,4204
33.9974,4211
34.0179,4321
34.0384,4323
34.0588,4274
34.0793,4232
34.0998,4282
34.1202,4205
34.1407,4238
34.1611,4136
34.1816,4282
34.2021,4249
34.2225,4302
34.243,4233
34.2635,4396
34.2839,4269
34.3044,4278
34.3249,4226
34.3453,4344
34.3658,4305
34.3863,4147
34.4067,4263
34.4272,4325
34.4476,4262
34.4681,4272
34.4886,4248
34.509,4234
34.5295,4290
34.55,4255
34.5704,4287
34.5909,4357
34.6114,4367
34.6318,4368
34.6523,4326
34.6727,4411
34.6932,4404
34.7137,4297
34.7341,4328
34.7546,4227
34.7751,4263
34.7955,4263
34.816,4451
34.8365,4400
34.8569,4414
34.8774,4397
34.8978,4222
34.9183,4409
34.9388,4396
34.9592,4416
34.9797,4386
35.0002,4366
35.0206,4297
35.0411,4487
35.0616,4363
35.082,4346
35.1025,4402
35.123,4346
35.1434,4379
35.1639,4439
35.1843,4496
35.2048,4440
35.2253,4398
35.2457,4402
35.2662,4390
35.2867,4553
35.3071,4478
35.3276,4475
35.3481,4371
35.3685,4350
35.389,4534
35.4094,4377
35.4299,4525
35.4504,4343
35.4708,4488
35.4913,4417
35.5118,4537
35.5322,4455
35.5527,4450
35.5732,4570
35.5936,4633
35.6141,4515
35.6345,4554
35.655,4578
35.6755,4605
35.6959,4537
35.7164,4555
35.7369,4547
35.7573,4572
35.7778,4549
35.7983,4602
35.8187,4558
35.8392,4519
35.8597,4535
35.8801,4559
35.9006,4590
35.921,4686
35.9415,4545
35.962,4585
35.9824,4583
36.0029,4502
36.0234,4538
36.0438,4641
36.0643,4453
36.0848,4477
36.1052,4549
36.1257,4495
36.1461,4493
36.1666,4493
36.1871,4412
36.2075,4581
36.228,4443
36.2485,4580
36.2689,4497
36.2894,4504
36.3099,4571
36.3303,4445
36.3508,4444
36.3712,4527
36.3917,4503
36.4122,4524
36.4326,4403
36.4531,4347
36.4736,4446
36.494,4443
36.5145,4509
36.535,4497
36.5554,4482
36.5759,4512
36.5964,4641
36.6168,4457
36.6373,4504
36.6577,4432
36.6782,4430
36.6987,4555
36.7191,4567
36.7396,4500
36.7601,4488
36.7805,4640
36.801,4566
36.8215,4409
36.8419,4508
36.8624,4390
36.8828,4561
36.9033,4515
36.9238,4507
36.9442,4484
36.9647,4498
36.9852,4539
37.0056,4406
37.0261,4443
37.0466,4635
37.067,4425
37.0875,4686
37.1079,4449
37.1284,4522
37.1489,4557
37.1693,4522
37.1898,4366
37.2103,4481
37.2307,4468
37.2512,4483
37.2717,4318
37.2921,4504
37.3126,4500
37.3331,4560
37.3535,4351
37.374,4467
37.3944,4436
37.4149,4411
37.4354,4434
37.4558,4506
37.4763,4440
37.4968,4388
37.5172,4360
37.5377,4587
37.5582,4349
37.5786,4229
37.5991,4297
37.6195,4277
37.64,4411
37.6605,4252
37.6809,4293
37.7014,4399
37.7219,4220
37.7423,4285
37.7628,4268
37.7833,4263
37.8037,4188
37.8242,4262
37.8446,4264
37.8651,4252
37.8856,4260
37.906,4208
37.9265,4281
37.947,4211
37.9674,4399
37.9879,4202
38.0084,4160
38.0288,4236
38.0493,4155
38.0698,4258
38.0902,4230
38.1107,4120
38.1311,4212
38.1516,4246
38.1721,4113
38.1925,4077
38.213,4069
38.2335,4164
38.2539,4135
38.2744,4150
38.2949,4103
38.3153,4146
38.3358,4143
38.3562,4210
38.3767,4151
38.3972,4136
